matched_company,family_id,publication_number,earliest_date,assignee,title,country_code,cpc_codes
ASML,87418714,TW-202422213-A,20240201,ASML NETHERLANDS BV,Training a machine learning model to generate mrc and process aware mask pattern,TW,G06F30/27;G06F30/32;G06N3/084;G06N3/09;G06N3/042;G06N3/045;G03F7/70441;G03F7/705;G03F1/36
ASML,84389293,WO-2023110285-A1,20230622,ASML NETHERLANDS BV,Method and system of defect detection for inspection sample based on machine learning model,WO,G06T2207/30148;G06T2207/20081;G06N3/0455;G06T7/0004;G06T2207/30148;G06T7/0004;G06F30/30;G03F7/706841;G03F7/7065;G06N3/088;G06N3/09;G06N3/0455;G06N3/048;G06N3/084;G06N3/09;G03F7/7065;G03F7/706841;G06N3/047;G06N3/0455;G06N3/0442;G06N3/0475
ASML,74561883,US-2023100578-A1,20230330,ASML NETHERLANDS BV,Method for determining a mask pattern comprising optical proximity corrections using a trained machine learning model,US,G06F30/27;G06F30/398;G03F7/70441;G03F7/70441;G03F1/36;G03F7/705;G03F1/36;G03F7/70441;G03F1/36;G06N3/0464;G03F7/705
ASML,80683808,US-2024184213-A1,20220913,ASML NETHERLANDS BV,Method of pattern selection for a semiconductor manufacturing related process,US,G03F7/705;G03F7/70508;G06F30/39;G06N3/0464;G06N20/00;G03F7/705;G03F7/705;G03F7/705;G03F7/705;G03F7/70508;G06N20/00;G03F7/70508;G06N3/0464;G06N3/09;G06N3/088;G03F7/70508;G06N3/088;G06N3/0464;G06N20/00;G06F30/39;G06N3/0464;G03F7/70508
ASML,74758578,WO-2022179773-A1,20220831,ASML NETHERLANDS BV,Procédé de prédiction de décalage de processus métrologique d&#39;un processus de fabrication de semi-conducteurs,WO,H10P74/23;H10P74/207;G03F7/70658;G05B19/41875;G03F7/70633;G03F7/70508;G03F7/70525;G06N20/00;G03F7/70616;G03F7/705;G03F7/70625;G06F30/398;G03F7/706839;G03F7/70558
ASML,73554426,CN-114981724-A,20220121,ASML NETHERLANDS BV,Method for improving mask pattern generation uniformity,CN,G06N3/045;G06N3/04;G06F30/398;G03F7/705;G03F7/70491;G03F7/70441;G03F1/70;G03F1/36;G06N3/0464;G06N3/09;G06N3/045;G03F7/70441;G03F7/705;G03F1/36;G03F1/70;G06F30/398;G03F1/36;G03F1/70;G03F7/705;G03F1/70;G03F7/70491;G03F1/36;G03F7/70441;G03F7/70441;G03F7/70491
ASML,69232820,US-11755814-B2,20210907,ASML NETHERLANDS BV,Method and apparatus for layout pattern selection,US,G06N3/09;G06N3/0464;G06F2111/20;G06N3/08;G06N3/0464;G06F30/392;G03F1/36;G06N3/084;G06F30/398;G06N20/00;G03F7/70441;G03F7/705;G06F30/30;G06N3/084;G06N3/045;G03F7/705;G03F1/36;G03F7/70441;G06F30/30;G06N3/045;G06F30/30;G03F1/36;G03F7/70441;G03F7/705;G06N3/08;G06F30/27;G06F30/398;G03F7/705;G06F30/27;G06F30/30;G06N3/08;G03F1/36;G03F7/70441
ASML,68468683,WO-2020114686-A1,20200611,ASML NETHERLANDS BV,Procédé de prédiction de rendement d&#39;un procédé de fabrication de semi-conducteurs,WO,G06N3/045;G06N3/09;G06N3/0464;G05B13/048;G06F30/27;G06N3/08;G05B13/042;G06F2119/02;G06F30/10;G05B13/027;G06F2119/22;G03F7/70616;G03F7/70525;G03F7/705;G03F7/70616;G03F7/705;G03F7/70525;G03F7/705;G03F7/70616;G03F7/706837
ASML,62116457,KR-20230035145-A,20200213,ASML NETHERLANDS BV,Assist feature placement based on machine learning,KR,G03F1/36;G06N20/10;G05B19/4097;G06F30/392;G06T2207/30148;G06T7/60;G06T7/0004;G03F1/36;G03F1/36;G03F1/36
ASML,65516640,TW-202040441-A,20190829,ASML NETHERLANDS BV,Methods for training machine learning model for computation lithography,TW,G06N3/045;G06N3/0464;G06N3/09;G06N3/08;G06F30/20;G03F1/36;G06N3/084;G06N3/045;G06N3/08;G06N3/084;G06N3/04;G06F30/20;G06N20/00;G03F1/36
ASML,54601777,TW-I655553-B,20190401,ASML NETHERLANDS BV,Computer-implemented method for a lithographic process and computer program product,TW,G06F30/20;G06F30/20;G06F30/00;G06N20/00;G03F7/70491;G03F7/70125;G06N20/00;G03F7/70125;G03F7/70441;G03F7/70491;G03F7/70441;G06N20/10;G06N20/10;G06F30/27
ASML,63528763,US-2024012335-A1,20190314,ASML NETHERLANDS BV,Training methods for machine learning assisted optical proximity error correction,US,G06N3/09;G06N3/0464;G03F7/70441;G06N20/00;G03F7/705;G06N5/047;G03F7/705;G03F7/70441;G03F7/70441;G03F7/70441;G03F1/36;G06F30/392;G06N20/00;G06V10/44;G06V10/46;G06V10/774;G06V10/82;G03F1/36;G03F7/705;G06N3/08;G06N20/10;G06N20/20;G06F30/398;G06N5/01;G06N3/045;G03F1/36;G03F7/705;G06F30/398;G06N20/10;G06N3/08;G06N20/20;G06N5/01;G06N3/045;G06N20/00;G03F7/705;G06N5/047
ASML,63254137,TW-I762966-B,20180830,ASML NETHERLANDS BV,Method and computer program product for computational metrology,TW,G03F7/706833;G03F7/70508;G03F7/706839;G03F7/70633;G03F7/70641;G03F7/70491;G03F7/70441;G03F7/70641;G03F7/70508;G03F7/70633;G03F7/705;G03F7/70625;G03F9/7046;G03F7/70683;G06N3/02;G03F7/705;G03F9/7046;G03F7/70625;G03F7/70633;G03F7/70625;G03F7/70641;G03F7/70508;G03F7/705;G03F7/70491;G03F7/70625;G03F7/705;G06F2119/22;G06F2119/18;G06F30/20
ASML,58640843,US-2019147127-A1,20171116,ASML NETHERLANDS BV,Identification of hot spots or defects by machine learning,US,G03F7/705;G06V10/772;G06F30/20;G06F18/28;G06F30/398;G03F7/70525;G06F30/398;G06V10/772;G06T7/0004;G06T2207/30148;G06T2207/30148;G06N20/00;G06T2207/20081;G06T2207/20081;G03F7/70525;G06T7/0004;G06T2207/30148;G06T7/0004;G06N20/00;G06T2207/20081;G03F7/705;G06F17/5009;G03F7/706837;G06F30/398;G06V2201/06;G06V2201/06;G06V2201/06;G03F7/70525;G03F7/705;G06T2207/30148;G06F18/28;G06T7/0004;G06T2207/20081;G03F7/705
